     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      3072,         1,         0,    1.94,pymatching,9df10788fa5245f97b668c94cf58240e15601944d9fb2ca0d91c38e719a4f9f9,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.02}",
      3584,         1,         0,    2.35,pymatching,cc1cb4b9b3cabeb825e8251dd13cc121c9c0a955580d5a7c0343210a6263505b,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.03}",
      4096,         1,         0,    2.54,pymatching,9df10788fa5245f97b668c94cf58240e15601944d9fb2ca0d91c38e719a4f9f9,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.02}",
     74752,        13,         0,    45.1,pymatching,94f12ff6af262d21cd621ae0959c1ef69a63405b6ecf30736a83af842f605765,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.015}",
      5120,         4,         0,    3.35,pymatching,cc1cb4b9b3cabeb825e8251dd13cc121c9c0a955580d5a7c0343210a6263505b,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.03}",
      5120,         2,         0,    3.24,pymatching,9df10788fa5245f97b668c94cf58240e15601944d9fb2ca0d91c38e719a4f9f9,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.02}",
      6656,         3,         0,    4.38,pymatching,cc1cb4b9b3cabeb825e8251dd13cc121c9c0a955580d5a7c0343210a6263505b,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.03}",
      7168,         1,         0,    4.66,pymatching,9df10788fa5245f97b668c94cf58240e15601944d9fb2ca0d91c38e719a4f9f9,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.02}",
      9216,         5,         0,    6.08,pymatching,cc1cb4b9b3cabeb825e8251dd13cc121c9c0a955580d5a7c0343210a6263505b,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.03}",
     10240,         3,         0,    6.46,pymatching,9df10788fa5245f97b668c94cf58240e15601944d9fb2ca0d91c38e719a4f9f9,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.02}",
     13312,        13,         0,    8.68,pymatching,cc1cb4b9b3cabeb825e8251dd13cc121c9c0a955580d5a7c0343210a6263505b,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.03}",
    166912,       358,         0,   120.2,pymatching,9f3d171328849b51868ca8ae4dda67721fc5b0450d2b77f44e8a6b37c7aaa15a,"{""d"":11,""k"":33,""p"":0.001,""p_bell"":0.04}",
