     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1024,       484,         0,   0.881,pymatching,245640fc48d2bbc0dcab28f089e1cfc040468791b7c717d1a120f128b576965a,"{""d"":9,""k"":27,""p"":0.02}",
       512,       262,         0,   0.440,pymatching,245640fc48d2bbc0dcab28f089e1cfc040468791b7c717d1a120f128b576965a,"{""d"":9,""k"":27,""p"":0.02}",
      1297,       637,         0,   0.029,pymatching,004adfd79a08424b5b0f1fd3af81ac1ac93dde98b9167026dcbcdaa6102e7390,"{""d"":3,""k"":9,""p"":0.05}",
      1024,       498,         0,   0.022,pymatching,004adfd79a08424b5b0f1fd3af81ac1ac93dde98b9167026dcbcdaa6102e7390,"{""d"":3,""k"":9,""p"":0.05}",
      1024,       523,         0,   0.022,pymatching,004adfd79a08424b5b0f1fd3af81ac1ac93dde98b9167026dcbcdaa6102e7390,"{""d"":3,""k"":9,""p"":0.05}",
      2048,      1006,         0,   0.045,pymatching,004adfd79a08424b5b0f1fd3af81ac1ac93dde98b9167026dcbcdaa6102e7390,"{""d"":3,""k"":9,""p"":0.05}",
      1024,       502,         0,   0.023,pymatching,004adfd79a08424b5b0f1fd3af81ac1ac93dde98b9167026dcbcdaa6102e7390,"{""d"":3,""k"":9,""p"":0.05}",
       512,       260,         0,   0.860,pymatching,8c74e2f7f022e600f1ff2d36f0d670b7dedabc46e5859052de6ddfc0062e68d6,"{""d"":11,""k"":33,""p"":0.02}",
       273,       151,         0,   0.045,pymatching,bccd34974eb0e23f8b5908e0891f519caf71bb8b04c0d964cee6a4af35f1ffbe,"{""d"":5,""k"":15,""p"":0.05}",
      1024,       534,         0,   0.165,pymatching,bccd34974eb0e23f8b5908e0891f519caf71bb8b04c0d964cee6a4af35f1ffbe,"{""d"":5,""k"":15,""p"":0.05}",
      1024,       465,         0,   0.165,pymatching,bccd34974eb0e23f8b5908e0891f519caf71bb8b04c0d964cee6a4af35f1ffbe,"{""d"":5,""k"":15,""p"":0.05}",
      1024,       532,         0,   0.168,pymatching,bccd34974eb0e23f8b5908e0891f519caf71bb8b04c0d964cee6a4af35f1ffbe,"{""d"":5,""k"":15,""p"":0.05}",
      1024,       514,         0,   0.165,pymatching,bccd34974eb0e23f8b5908e0891f519caf71bb8b04c0d964cee6a4af35f1ffbe,"{""d"":5,""k"":15,""p"":0.05}",
       512,       247,         0,   0.870,pymatching,8c74e2f7f022e600f1ff2d36f0d670b7dedabc46e5859052de6ddfc0062e68d6,"{""d"":11,""k"":33,""p"":0.02}",
      1024,       510,         0,   0.166,pymatching,bccd34974eb0e23f8b5908e0891f519caf71bb8b04c0d964cee6a4af35f1ffbe,"{""d"":5,""k"":15,""p"":0.05}",
      1024,       496,         0,   0.190,pymatching,bccd34974eb0e23f8b5908e0891f519caf71bb8b04c0d964cee6a4af35f1ffbe,"{""d"":5,""k"":15,""p"":0.05}",
        17,         8,         0,   0.012,pymatching,0bc33a4a383118cd4a06df157ed898804ebafb8903dfcb6cba20c7ab73c7b42a,"{""d"":7,""k"":21,""p"":0.05}",
       256,       120,         0,   0.137,pymatching,0bc33a4a383118cd4a06df157ed898804ebafb8903dfcb6cba20c7ab73c7b42a,"{""d"":7,""k"":21,""p"":0.05}",
      1024,       502,         0,   0.551,pymatching,0bc33a4a383118cd4a06df157ed898804ebafb8903dfcb6cba20c7ab73c7b42a,"{""d"":7,""k"":21,""p"":0.05}",
       768,       404,         0,    1.34,pymatching,8c74e2f7f022e600f1ff2d36f0d670b7dedabc46e5859052de6ddfc0062e68d6,"{""d"":11,""k"":33,""p"":0.02}",
      1024,       519,         0,   0.550,pymatching,0bc33a4a383118cd4a06df157ed898804ebafb8903dfcb6cba20c7ab73c7b42a,"{""d"":7,""k"":21,""p"":0.05}",
      1024,       538,         0,   0.554,pymatching,0bc33a4a383118cd4a06df157ed898804ebafb8903dfcb6cba20c7ab73c7b42a,"{""d"":7,""k"":21,""p"":0.05}",
      1024,       515,         0,   0.547,pymatching,0bc33a4a383118cd4a06df157ed898804ebafb8903dfcb6cba20c7ab73c7b42a,"{""d"":7,""k"":21,""p"":0.05}",
      1024,       517,         0,    1.74,pymatching,8c74e2f7f022e600f1ff2d36f0d670b7dedabc46e5859052de6ddfc0062e68d6,"{""d"":11,""k"":33,""p"":0.02}",
      1024,       512,         0,   0.541,pymatching,0bc33a4a383118cd4a06df157ed898804ebafb8903dfcb6cba20c7ab73c7b42a,"{""d"":7,""k"":21,""p"":0.05}",
      1024,       495,         0,   0.539,pymatching,0bc33a4a383118cd4a06df157ed898804ebafb8903dfcb6cba20c7ab73c7b42a,"{""d"":7,""k"":21,""p"":0.05}",
        17,         7,         0,   0.027,pymatching,e6d1868a50964c3675c50bcc6124ebd71a451d512098e33f2084f6ee4e7bbea2,"{""d"":9,""k"":27,""p"":0.05}",
       256,       131,         0,   0.320,pymatching,e6d1868a50964c3675c50bcc6124ebd71a451d512098e33f2084f6ee4e7bbea2,"{""d"":9,""k"":27,""p"":0.05}",
       768,       406,         0,    1.30,pymatching,8c74e2f7f022e600f1ff2d36f0d670b7dedabc46e5859052de6ddfc0062e68d6,"{""d"":11,""k"":33,""p"":0.02}",
       256,       135,         0,   0.319,pymatching,e6d1868a50964c3675c50bcc6124ebd71a451d512098e33f2084f6ee4e7bbea2,"{""d"":9,""k"":27,""p"":0.05}",
         1,         1,         0,   0.014,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
        16,        10,         0,   0.038,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
       256,       133,         0,   0.328,pymatching,e6d1868a50964c3675c50bcc6124ebd71a451d512098e33f2084f6ee4e7bbea2,"{""d"":9,""k"":27,""p"":0.05}",
       128,        61,         0,   0.321,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
       256,       142,         0,   0.329,pymatching,e6d1868a50964c3675c50bcc6124ebd71a451d512098e33f2084f6ee4e7bbea2,"{""d"":9,""k"":27,""p"":0.05}",
       128,        66,         0,   0.317,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
       256,       136,         0,   0.321,pymatching,e6d1868a50964c3675c50bcc6124ebd71a451d512098e33f2084f6ee4e7bbea2,"{""d"":9,""k"":27,""p"":0.05}",
       128,        62,         0,   0.315,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
       256,       131,         0,   0.323,pymatching,e6d1868a50964c3675c50bcc6124ebd71a451d512098e33f2084f6ee4e7bbea2,"{""d"":9,""k"":27,""p"":0.05}",
       128,        52,         0,   0.319,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
       256,       119,         0,   0.318,pymatching,e6d1868a50964c3675c50bcc6124ebd71a451d512098e33f2084f6ee4e7bbea2,"{""d"":9,""k"":27,""p"":0.05}",
       128,        61,         0,   0.320,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
       256,       133,         0,   0.325,pymatching,e6d1868a50964c3675c50bcc6124ebd71a451d512098e33f2084f6ee4e7bbea2,"{""d"":9,""k"":27,""p"":0.05}",
       128,        65,         0,   0.315,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
       256,       133,         0,   0.319,pymatching,e6d1868a50964c3675c50bcc6124ebd71a451d512098e33f2084f6ee4e7bbea2,"{""d"":9,""k"":27,""p"":0.05}",
       128,        67,         0,   0.317,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
       256,       133,         0,   0.328,pymatching,e6d1868a50964c3675c50bcc6124ebd71a451d512098e33f2084f6ee4e7bbea2,"{""d"":9,""k"":27,""p"":0.05}",
       128,        64,         0,   0.313,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
       128,        62,         0,   0.319,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
       512,       262,         0,   0.660,pymatching,e6d1868a50964c3675c50bcc6124ebd71a451d512098e33f2084f6ee4e7bbea2,"{""d"":9,""k"":27,""p"":0.05}",
       256,       129,         0,   0.701,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
       512,       268,         0,   0.697,pymatching,e6d1868a50964c3675c50bcc6124ebd71a451d512098e33f2084f6ee4e7bbea2,"{""d"":9,""k"":27,""p"":0.05}",
       256,       117,         0,   0.674,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
       768,       396,         0,    1.01,pymatching,e6d1868a50964c3675c50bcc6124ebd71a451d512098e33f2084f6ee4e7bbea2,"{""d"":9,""k"":27,""p"":0.05}",
       384,       209,         0,    1.03,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
    642048,        70,         0,    45.0,pymatching,0921bd8f6c690e9e1b257a1a04bb7f60c78f75579e562ecc916862cada626de8,"{""d"":11,""k"":33,""p"":0.002}",
      1024,       505,         0,    1.43,pymatching,e6d1868a50964c3675c50bcc6124ebd71a451d512098e33f2084f6ee4e7bbea2,"{""d"":9,""k"":27,""p"":0.05}",
       512,       272,         0,    1.43,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
       512,       262,         0,   0.717,pymatching,e6d1868a50964c3675c50bcc6124ebd71a451d512098e33f2084f6ee4e7bbea2,"{""d"":9,""k"":27,""p"":0.05}",
      1297,       650,         0,   0.031,pymatching,fc05e6e16168e9c0171387874eb7492e96303f1fd3563c8713224fa87969dea4,"{""d"":3,""k"":9,""p"":0.1}",
      1024,       513,         0,   0.023,pymatching,fc05e6e16168e9c0171387874eb7492e96303f1fd3563c8713224fa87969dea4,"{""d"":3,""k"":9,""p"":0.1}",
      1024,       516,         0,   0.025,pymatching,fc05e6e16168e9c0171387874eb7492e96303f1fd3563c8713224fa87969dea4,"{""d"":3,""k"":9,""p"":0.1}",
      2048,      1034,         0,   0.051,pymatching,fc05e6e16168e9c0171387874eb7492e96303f1fd3563c8713224fa87969dea4,"{""d"":3,""k"":9,""p"":0.1}",
      1024,       510,         0,   0.024,pymatching,fc05e6e16168e9c0171387874eb7492e96303f1fd3563c8713224fa87969dea4,"{""d"":3,""k"":9,""p"":0.1}",
       273,       144,         0,   0.069,pymatching,be44f82d6b8290711e2a01684b4f4ef7cdc8dab8e01bd7ed175c4f53f1ee6f53,"{""d"":5,""k"":15,""p"":0.1}",
      1024,       499,         0,   0.255,pymatching,be44f82d6b8290711e2a01684b4f4ef7cdc8dab8e01bd7ed175c4f53f1ee6f53,"{""d"":5,""k"":15,""p"":0.1}",
      1024,       509,         0,   0.249,pymatching,be44f82d6b8290711e2a01684b4f4ef7cdc8dab8e01bd7ed175c4f53f1ee6f53,"{""d"":5,""k"":15,""p"":0.1}",
      1024,       522,         0,   0.244,pymatching,be44f82d6b8290711e2a01684b4f4ef7cdc8dab8e01bd7ed175c4f53f1ee6f53,"{""d"":5,""k"":15,""p"":0.1}",
      1024,       533,         0,   0.241,pymatching,be44f82d6b8290711e2a01684b4f4ef7cdc8dab8e01bd7ed175c4f53f1ee6f53,"{""d"":5,""k"":15,""p"":0.1}",
       640,       327,         0,    1.72,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
      1024,       512,         0,   0.241,pymatching,be44f82d6b8290711e2a01684b4f4ef7cdc8dab8e01bd7ed175c4f53f1ee6f53,"{""d"":5,""k"":15,""p"":0.1}",
      1024,       516,         0,   0.243,pymatching,be44f82d6b8290711e2a01684b4f4ef7cdc8dab8e01bd7ed175c4f53f1ee6f53,"{""d"":5,""k"":15,""p"":0.1}",
        17,         5,         0,   0.024,pymatching,8c03c9a708df91f6cac2b462c49c48432b0f3e6d1eb362d93ecd08214169ab71,"{""d"":7,""k"":21,""p"":0.1}",
       256,       119,         0,   0.271,pymatching,8c03c9a708df91f6cac2b462c49c48432b0f3e6d1eb362d93ecd08214169ab71,"{""d"":7,""k"":21,""p"":0.1}",
       512,       256,         0,   0.523,pymatching,8c03c9a708df91f6cac2b462c49c48432b0f3e6d1eb362d93ecd08214169ab71,"{""d"":7,""k"":21,""p"":0.1}",
       512,       255,         0,   0.529,pymatching,8c03c9a708df91f6cac2b462c49c48432b0f3e6d1eb362d93ecd08214169ab71,"{""d"":7,""k"":21,""p"":0.1}",
       896,       461,         0,    2.19,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
       512,       258,         0,   0.533,pymatching,8c03c9a708df91f6cac2b462c49c48432b0f3e6d1eb362d93ecd08214169ab71,"{""d"":7,""k"":21,""p"":0.1}",
       512,       243,         0,   0.532,pymatching,8c03c9a708df91f6cac2b462c49c48432b0f3e6d1eb362d93ecd08214169ab71,"{""d"":7,""k"":21,""p"":0.1}",
       512,       240,         0,   0.528,pymatching,8c03c9a708df91f6cac2b462c49c48432b0f3e6d1eb362d93ecd08214169ab71,"{""d"":7,""k"":21,""p"":0.1}",
       512,       260,         0,   0.538,pymatching,8c03c9a708df91f6cac2b462c49c48432b0f3e6d1eb362d93ecd08214169ab71,"{""d"":7,""k"":21,""p"":0.1}",
       512,       270,         0,   0.513,pymatching,8c03c9a708df91f6cac2b462c49c48432b0f3e6d1eb362d93ecd08214169ab71,"{""d"":7,""k"":21,""p"":0.1}",
       512,       266,         0,   0.514,pymatching,8c03c9a708df91f6cac2b462c49c48432b0f3e6d1eb362d93ecd08214169ab71,"{""d"":7,""k"":21,""p"":0.1}",
       512,       257,         0,   0.539,pymatching,8c03c9a708df91f6cac2b462c49c48432b0f3e6d1eb362d93ecd08214169ab71,"{""d"":7,""k"":21,""p"":0.1}",
      1536,       784,         0,    3.65,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
       512,       257,         0,   0.528,pymatching,8c03c9a708df91f6cac2b462c49c48432b0f3e6d1eb362d93ecd08214169ab71,"{""d"":7,""k"":21,""p"":0.1}",
      1024,       514,         0,    1.06,pymatching,8c03c9a708df91f6cac2b462c49c48432b0f3e6d1eb362d93ecd08214169ab71,"{""d"":7,""k"":21,""p"":0.1}",
       512,       244,         0,    1.22,pymatching,f647423225f598ab04d937845934ad8875ca8de0b6cf490b57d775bde4b44fe5,"{""d"":11,""k"":33,""p"":0.05}",
        17,         4,         0,   0.066,pymatching,1cee4bbcea7ba18d9045a2311f8a9479665bd99769e9b9911d0e9e5b35d64a87,"{""d"":9,""k"":27,""p"":0.1}",
         1,         1,         0,   0.017,pymatching,97b0f74a208ad01d6d9c5c95d74aafdbd07988c9bec93a41e6979f4967f49d5b,"{""d"":11,""k"":33,""p"":0.1}",
        16,         6,         0,   0.149,pymatching,97b0f74a208ad01d6d9c5c95d74aafdbd07988c9bec93a41e6979f4967f49d5b,"{""d"":11,""k"":33,""p"":0.1}",
       128,        62,         0,   0.433,pymatching,1cee4bbcea7ba18d9045a2311f8a9479665bd99769e9b9911d0e9e5b35d64a87,"{""d"":9,""k"":27,""p"":0.1}",
        64,        32,         0,   0.583,pymatching,97b0f74a208ad01d6d9c5c95d74aafdbd07988c9bec93a41e6979f4967f49d5b,"{""d"":11,""k"":33,""p"":0.1}",
       128,        65,         0,   0.442,pymatching,1cee4bbcea7ba18d9045a2311f8a9479665bd99769e9b9911d0e9e5b35d64a87,"{""d"":9,""k"":27,""p"":0.1}",
        64,        34,         0,   0.565,pymatching,97b0f74a208ad01d6d9c5c95d74aafdbd07988c9bec93a41e6979f4967f49d5b,"{""d"":11,""k"":33,""p"":0.1}",
