     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     86016,       479,         0,   0.101,pymatching,00170e4c5dbcf696528e5af8947b2c07544db1dfa94e4640e0d12fdb6f235a30,"{""d"":3,""k"":9,""p"":0.0008}",
     97280,         1,         0,    3.06,pymatching,5331dfa6870b2633256fc5921a1510b2734fd51cf757e6d51c3ecec523667441,"{""d"":9,""k"":27,""p"":0.0007}",
    120832,       638,         0,   0.142,pymatching,00170e4c5dbcf696528e5af8947b2c07544db1dfa94e4640e0d12fdb6f235a30,"{""d"":3,""k"":9,""p"":0.0008}",
    151552,       843,         0,   0.179,pymatching,00170e4c5dbcf696528e5af8947b2c07544db1dfa94e4640e0d12fdb6f235a30,"{""d"":3,""k"":9,""p"":0.0008}",
       273,         2,         0,   0.003,pymatching,9a6dafb913c90013d2a978441cc85ef2e84a2aa8413bef7b5f2dc84146b7028b,"{""d"":5,""k"":15,""p"":0.0008}",
      2048,         5,         0,   0.019,pymatching,9a6dafb913c90013d2a978441cc85ef2e84a2aa8413bef7b5f2dc84146b7028b,"{""d"":5,""k"":15,""p"":0.0008}",
      3072,         2,         0,   0.024,pymatching,9a6dafb913c90013d2a978441cc85ef2e84a2aa8413bef7b5f2dc84146b7028b,"{""d"":5,""k"":15,""p"":0.0008}",
      5120,         5,         0,   0.030,pymatching,9a6dafb913c90013d2a978441cc85ef2e84a2aa8413bef7b5f2dc84146b7028b,"{""d"":5,""k"":15,""p"":0.0008}",
      7168,         8,         0,   0.042,pymatching,9a6dafb913c90013d2a978441cc85ef2e84a2aa8413bef7b5f2dc84146b7028b,"{""d"":5,""k"":15,""p"":0.0008}",
      9216,        11,         0,   0.053,pymatching,9a6dafb913c90013d2a978441cc85ef2e84a2aa8413bef7b5f2dc84146b7028b,"{""d"":5,""k"":15,""p"":0.0008}",
     13312,        14,         0,   0.076,pymatching,9a6dafb913c90013d2a978441cc85ef2e84a2aa8413bef7b5f2dc84146b7028b,"{""d"":5,""k"":15,""p"":0.0008}",
     18432,        16,         0,   0.106,pymatching,9a6dafb913c90013d2a978441cc85ef2e84a2aa8413bef7b5f2dc84146b7028b,"{""d"":5,""k"":15,""p"":0.0008}",
     25600,        24,         0,   0.145,pymatching,9a6dafb913c90013d2a978441cc85ef2e84a2aa8413bef7b5f2dc84146b7028b,"{""d"":5,""k"":15,""p"":0.0008}",
     35840,        38,         0,   0.204,pymatching,9a6dafb913c90013d2a978441cc85ef2e84a2aa8413bef7b5f2dc84146b7028b,"{""d"":5,""k"":15,""p"":0.0008}",
     50176,        46,         0,   0.283,pymatching,9a6dafb913c90013d2a978441cc85ef2e84a2aa8413bef7b5f2dc84146b7028b,"{""d"":5,""k"":15,""p"":0.0008}",
    245760,        21,         0,    4.25,pymatching,3f0cfc4b41fc3c545f3f2d7d471811949312f3149986cdb035586c420c3109e2,"{""d"":7,""k"":21,""p"":0.0007}",
     69632,        69,         0,   0.398,pymatching,9a6dafb913c90013d2a978441cc85ef2e84a2aa8413bef7b5f2dc84146b7028b,"{""d"":5,""k"":15,""p"":0.0008}",
     99328,        92,         0,   0.561,pymatching,9a6dafb913c90013d2a978441cc85ef2e84a2aa8413bef7b5f2dc84146b7028b,"{""d"":5,""k"":15,""p"":0.0008}",
     41984,         0,         0,    3.08,pymatching,a36f0fefb3f0eb50e0a7d2a0e537c30f96573987b8460f83a9bb16110cf9f9f1,"{""d"":11,""k"":33,""p"":0.0007}",
    138240,       132,         0,   0.785,pymatching,9a6dafb913c90013d2a978441cc85ef2e84a2aa8413bef7b5f2dc84146b7028b,"{""d"":5,""k"":15,""p"":0.0008}",
