     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        17,        11,         0,   0.011,pymatching,8b9f6058626d977d94e487d41c4fd11f1417434b65c5bb20a3e7a84708a957fd,"{""d"":7,""k"":21,""p"":0.1,""p_bell"":0.01}",
       273,       132,         0,   0.044,pymatching,c2c624d62e644d1b1adf3cec0b2b900e4a50f700bc17396e52586386f58910f6,"{""d"":5,""k"":15,""p"":0.1,""p_bell"":0.01}",
       128,        66,         0,   0.356,pymatching,2ae065712688212e8b2a7a124a36072f0ba0879396e12ab83d3965246095cd56,"{""d"":11,""k"":33,""p"":0.09,""p_bell"":0.01}",
       256,       129,         0,   0.143,pymatching,8b9f6058626d977d94e487d41c4fd11f1417434b65c5bb20a3e7a84708a957fd,"{""d"":7,""k"":21,""p"":0.1,""p_bell"":0.01}",
      1024,       516,         0,   0.173,pymatching,c2c624d62e644d1b1adf3cec0b2b900e4a50f700bc17396e52586386f58910f6,"{""d"":5,""k"":15,""p"":0.1,""p_bell"":0.01}",
       256,       126,         0,   0.333,pymatching,6f1aa014bf737df610e0175101ffee972d758d4a2f70e4d3adee0c14fb907206,"{""d"":9,""k"":27,""p"":0.09,""p_bell"":0.01}",
    165888,       234,         0,    16.5,pymatching,3ce9de4151f6221d2233328e3bd838dff94ebd5941d5242b1dcbc9dcacc57c2b,"{""d"":11,""k"":33,""p"":0.002,""p_bell"":0.01}",
      1024,       490,         0,   0.162,pymatching,c2c624d62e644d1b1adf3cec0b2b900e4a50f700bc17396e52586386f58910f6,"{""d"":5,""k"":15,""p"":0.1,""p_bell"":0.01}",
       128,        62,         0,   0.355,pymatching,2ae065712688212e8b2a7a124a36072f0ba0879396e12ab83d3965246095cd56,"{""d"":11,""k"":33,""p"":0.09,""p_bell"":0.01}",
      1024,       535,         0,   0.191,pymatching,c2c624d62e644d1b1adf3cec0b2b900e4a50f700bc17396e52586386f58910f6,"{""d"":5,""k"":15,""p"":0.1,""p_bell"":0.01}",
